Iteration,Distance
0.000000,20.479610
1.000000,20.479610
2.000000,20.479610
3.000000,20.479610
4.000000,20.479610
5.000000,20.479610
6.000000,20.479610
7.000000,20.479610
8.000000,20.479610
9.000000,20.479610
10.000000,20.479610
11.000000,20.479610
12.000000,20.479610
13.000000,17.249766
14.000000,16.672313
15.000000,16.672313
16.000000,17.677758
17.000000,16.672313
18.000000,16.672313
19.000000,16.672313
20.000000,16.672313
21.000000,17.677758
22.000000,17.677758
23.000000,12.168199
24.000000,12.168199
25.000000,17.677758
26.000000,17.677758
27.000000,12.168199
28.000000,17.677758
29.000000,17.677758
30.000000,16.672313
31.000000,16.672313
32.000000,15.501430
33.000000,15.501430
34.000000,15.501430
35.000000,16.672313
36.000000,16.672313
37.000000,16.672313
38.000000,17.677758
39.000000,20.828221
40.000000,20.828221
41.000000,18.367524
42.000000,18.367524
43.000000,12.168199
44.000000,13.339301
45.000000,13.339301
46.000000,18.087100
47.000000,18.087100
48.000000,18.087100
49.000000,18.087100
50.000000,17.430748
51.000000,17.430748
52.000000,17.430748
53.000000,17.430748
54.000000,17.430748
55.000000,12.168199
56.000000,13.339301
57.000000,13.339301
58.000000,13.339301
59.000000,12.168199
60.000000,12.168199
61.000000,12.168199
62.000000,12.168199
63.000000,12.168199
64.000000,17.677758
65.000000,17.677758
66.000000,16.672313
67.000000,16.672313
68.000000,16.672313
69.000000,15.501430
70.000000,15.501430
71.000000,16.080203
72.000000,16.080203
73.000000,15.794251
74.000000,18.769479
75.000000,18.769479
76.000000,18.769479
77.000000,18.769479
78.000000,18.769479
79.000000,18.769479
80.000000,18.769479
81.000000,18.769479
82.000000,17.430748
83.000000,12.168199
84.000000,18.367524
85.000000,18.367524
86.000000,18.367524
87.000000,18.367524
88.000000,20.194977
89.000000,20.194977
90.000000,13.339301
91.000000,12.168199
92.000000,12.168199
93.000000,12.168199
94.000000,18.367524
95.000000,18.367524
96.000000,18.367524
97.000000,18.367524
98.000000,18.367524
99.000000,18.367524
100.000000,18.367524
101.000000,18.367524
102.000000,18.367524
103.000000,18.367524
104.000000,18.367524
105.000000,20.194977
106.000000,20.194977
107.000000,18.367524
108.000000,18.367524
109.000000,18.367524
110.000000,12.168199
111.000000,12.168199
112.000000,12.168199
113.000000,15.794251
114.000000,16.735454
115.000000,16.735454
116.000000,15.794251
117.000000,15.794251
118.000000,15.794251
119.000000,15.794251
120.000000,15.794251
121.000000,16.735454
122.000000,16.735454
123.000000,17.249503
124.000000,18.769479
125.000000,18.769479
126.000000,18.769479
127.000000,18.769479
128.000000,18.769479
129.000000,18.769479
130.000000,18.769479
131.000000,18.769479
132.000000,18.769479
133.000000,18.769479
134.000000,18.769479
135.000000,17.430748
136.000000,17.430748
137.000000,20.479610
138.000000,17.677758
139.000000,17.677758
140.000000,16.672313
141.000000,16.672313
142.000000,15.501430
143.000000,15.501430
144.000000,15.501430
145.000000,15.501430
146.000000,15.501430
147.000000,15.501430
148.000000,16.080203
149.000000,15.501430
150.000000,16.080203
151.000000,16.080203
152.000000,16.080203
153.000000,16.080203
154.000000,16.080203
155.000000,16.080203
156.000000,16.080203
157.000000,16.080203
158.000000,16.080203
159.000000,16.080203
160.000000,15.501430
161.000000,15.501430
162.000000,15.501430
163.000000,17.607768
164.000000,17.607768
165.000000,17.837667
166.000000,17.249503
167.000000,17.249503
168.000000,16.735454
169.000000,16.735454
170.000000,16.735454
171.000000,16.735454
172.000000,16.735454
173.000000,16.735454
174.000000,17.249503
175.000000,17.249503
176.000000,17.249503
177.000000,17.249503
178.000000,17.249503
179.000000,17.249503
180.000000,17.249503
181.000000,17.837667
182.000000,18.018431
183.000000,18.018431
184.000000,18.018431
185.000000,18.018431
186.000000,18.018431
187.000000,18.018431
188.000000,18.018431
189.000000,18.018431
190.000000,16.917538
191.000000,16.917538
192.000000,17.432069
193.000000,17.432069
194.000000,17.432069
195.000000,16.080203
196.000000,15.501430
197.000000,15.501430
198.000000,15.501430
199.000000,15.501430
200.000000,16.080203
201.000000,15.794251
202.000000,18.018649
203.000000,18.018431
204.000000,18.018431
205.000000,18.018431
206.000000,18.018431
207.000000,18.018431
208.000000,18.018431
209.000000,18.018431
210.000000,18.018431
211.000000,18.018431
212.000000,16.917538
213.000000,16.917538
214.000000,16.917538
215.000000,18.018431
216.000000,19.127263
217.000000,19.127263
218.000000,19.127263
219.000000,16.917538
220.000000,16.917538
221.000000,16.917538
222.000000,18.018431
223.000000,17.837667
224.000000,17.249503
225.000000,17.249503
226.000000,17.249503
227.000000,17.249503
228.000000,16.592933
229.000000,17.249766
230.000000,17.249766
231.000000,17.249766
232.000000,17.249766
233.000000,17.249766
234.000000,17.249766
235.000000,16.672313
236.000000,22.585685
237.000000,22.585685
238.000000,22.585685
239.000000,22.585685
240.000000,18.018649
241.000000,18.018649
242.000000,19.642013
243.000000,19.642013
244.000000,19.642013
245.000000,18.018649
246.000000,15.794251
247.000000,18.018649
248.000000,18.018649
249.000000,19.642013
250.000000,19.642013
251.000000,19.642013
252.000000,19.642013
253.000000,19.642013
254.000000,19.642013
255.000000,19.642013
256.000000,19.642013
257.000000,18.018649
258.000000,18.018649
259.000000,18.018649
260.000000,18.018649
261.000000,22.585685
262.000000,18.699489
263.000000,18.699489
264.000000,22.585685
265.000000,22.585685
266.000000,22.585685
267.000000,22.585685
268.000000,21.056581
269.000000,21.056581
270.000000,21.056581
271.000000,21.056581
272.000000,17.249766
273.000000,17.249766
274.000000,17.249766
275.000000,17.249766
276.000000,17.249766
277.000000,17.249766
278.000000,17.249766
279.000000,17.249766
280.000000,17.249766
281.000000,17.249766
282.000000,17.249766
283.000000,20.479610
284.000000,20.479610
285.000000,20.479610
286.000000,17.430748
287.000000,17.430748
288.000000,17.430748
289.000000,17.430748
290.000000,17.430748
291.000000,18.769479
292.000000,18.769479
293.000000,17.430748
294.000000,17.430748
295.000000,18.087100
296.000000,17.430748
297.000000,17.430748
298.000000,17.430748
299.000000,17.430748
300.000000,18.769479
301.000000,18.769479
302.000000,18.769479
303.000000,17.430748
304.000000,17.430748
305.000000,18.087100
306.000000,18.087100
307.000000,18.087100
308.000000,18.087100
309.000000,20.194977
310.000000,20.194977
311.000000,20.194977
312.000000,18.367524
313.000000,12.168199
314.000000,12.168199
315.000000,18.367524
316.000000,18.367524
317.000000,18.367524
318.000000,18.367524
319.000000,18.367524
320.000000,18.367524
321.000000,18.367524
322.000000,18.367524
323.000000,18.367524
324.000000,18.367524
325.000000,20.828221
326.000000,16.080203
327.000000,18.769479
328.000000,17.430748
329.000000,17.430748
330.000000,18.087100
331.000000,18.087100
332.000000,21.056581
333.000000,18.087100
334.000000,18.087100
335.000000,18.087100
336.000000,18.087100
337.000000,18.087100
338.000000,18.087100
339.000000,18.087100
340.000000,18.087100
341.000000,18.087100
342.000000,18.087100
343.000000,18.087100
344.000000,18.087100
345.000000,18.087100
346.000000,20.194977
347.000000,20.194977
348.000000,18.367524
349.000000,18.367524
350.000000,12.168199
351.000000,12.168199
352.000000,12.168199
353.000000,12.168199
354.000000,12.168199
355.000000,12.168199
356.000000,12.168199
357.000000,12.168199
358.000000,12.168199
359.000000,12.168199
360.000000,12.168199
361.000000,12.168199
362.000000,12.168199
363.000000,12.168199
364.000000,17.430748
365.000000,17.430748
366.000000,17.430748
367.000000,17.430748
368.000000,17.430748
369.000000,17.430748
370.000000,17.430748
371.000000,17.430748
372.000000,17.430748
373.000000,18.769479
374.000000,18.769479
375.000000,17.430748
376.000000,17.430748
377.000000,17.430748
378.000000,17.430748
379.000000,17.430748
380.000000,17.430748
381.000000,18.769479
382.000000,17.430748
383.000000,18.769479
384.000000,18.769479
385.000000,18.769479
386.000000,18.769479
387.000000,17.430748
388.000000,20.479610
389.000000,20.479610
390.000000,20.479610
391.000000,20.479610
392.000000,17.249766
393.000000,16.735454
394.000000,16.735454
395.000000,16.735454
396.000000,15.794251
397.000000,15.794251
398.000000,15.794251
399.000000,15.794251
400.000000,16.080203
401.000000,16.080203
402.000000,16.080203
403.000000,16.080203
404.000000,15.794251
405.000000,15.794251
406.000000,16.080203
407.000000,16.080203
408.000000,16.080203
409.000000,17.432069
410.000000,17.432069
411.000000,17.432069
412.000000,17.432069
413.000000,19.642013
414.000000,18.769479
415.000000,17.249503
416.000000,17.249503
417.000000,16.735454
418.000000,16.735454
419.000000,17.249766
420.000000,16.592933
421.000000,16.592933
422.000000,17.249766
423.000000,17.249766
424.000000,17.249766
425.000000,17.249766
426.000000,17.249766
427.000000,16.672313
428.000000,16.672313
429.000000,16.672313
430.000000,15.501430
431.000000,15.501430
432.000000,15.501430
433.000000,15.501430
434.000000,15.501430
435.000000,17.607768
436.000000,18.087100
437.000000,17.607768
438.000000,15.217279
439.000000,16.917538
440.000000,16.917538
441.000000,16.917538
442.000000,16.917538
443.000000,17.432069
444.000000,17.432069
445.000000,17.432069
446.000000,17.432069
447.000000,16.917538
448.000000,16.917538
449.000000,16.917538
450.000000,19.127263
451.000000,17.432069
452.000000,17.432069
453.000000,17.432069
454.000000,17.432069
455.000000,18.018649
456.000000,22.585685
457.000000,18.018649
458.000000,17.432069
459.000000,17.432069
460.000000,17.432069
461.000000,19.642013
462.000000,19.642013
463.000000,18.018649
464.000000,18.018649
465.000000,18.018649
466.000000,18.018649
467.000000,18.018649
468.000000,19.642013
469.000000,19.642013
470.000000,19.642013
471.000000,19.642013
472.000000,19.642013
473.000000,19.642013
474.000000,19.642013
475.000000,19.642013
476.000000,19.642013
477.000000,19.642013
478.000000,19.642013
479.000000,19.642013
480.000000,17.432069
481.000000,16.080203
482.000000,16.080203
483.000000,15.794251
484.000000,15.794251
485.000000,15.794251
486.000000,16.080203
487.000000,16.080203
488.000000,15.501430
489.000000,15.501430
490.000000,15.501430
491.000000,15.501430
492.000000,16.080203
493.000000,16.080203
494.000000,17.432069
495.000000,17.432069
496.000000,19.642013
497.000000,19.642013
498.000000,19.642013
499.000000,19.642013
500.000000,19.642013
501.000000,19.642013
502.000000,18.018649
503.000000,18.018649
504.000000,19.642013
505.000000,18.018649
506.000000,18.018431
507.000000,16.917538
508.000000,18.018431
509.000000,18.018431
510.000000,18.018431
511.000000,18.018431
512.000000,18.018431
513.000000,18.018649
514.000000,18.018649
515.000000,18.018649
516.000000,18.018649
517.000000,18.018649
518.000000,18.018649
519.000000,22.585685
520.000000,18.018431
521.000000,18.018431
522.000000,18.018431
523.000000,16.917538
524.000000,16.917538
525.000000,16.917538
526.000000,16.917538
527.000000,16.917538
528.000000,19.127263
529.000000,19.127263
530.000000,18.018431
531.000000,18.018431
532.000000,18.018431
533.000000,18.018431
534.000000,17.837667
535.000000,17.837667
536.000000,18.018431
537.000000,17.837667
538.000000,17.837667
539.000000,15.217279
540.000000,15.217279
541.000000,15.217279
542.000000,15.217279
543.000000,15.217279
544.000000,15.217279
545.000000,15.217279
546.000000,17.837667
547.000000,15.217279
548.000000,15.217279
549.000000,15.217279
550.000000,15.217279
551.000000,13.339301
552.000000,12.168199
553.000000,17.430748
554.000000,17.430748
555.000000,12.168199
556.000000,12.168199
557.000000,12.168199
558.000000,12.168199
559.000000,12.168199
560.000000,12.168199
561.000000,17.677758
562.000000,18.367524
563.000000,12.168199
564.000000,12.168199
565.000000,17.677758
566.000000,12.168199
567.000000,12.168199
568.000000,18.367524
569.000000,12.168199
570.000000,12.168199
571.000000,17.677758
572.000000,17.677758
573.000000,20.479610
574.000000,20.479610
575.000000,17.677758
576.000000,20.828221
577.000000,17.677758
578.000000,17.677758
579.000000,12.168199
580.000000,17.430748
581.000000,12.168199
582.000000,18.367524
583.000000,12.168199
584.000000,12.168199
585.000000,12.168199
586.000000,12.168199
587.000000,12.168199
588.000000,12.168199
589.000000,12.168199
590.000000,17.677758
591.000000,12.168199
592.000000,12.168199
593.000000,17.430748
594.000000,12.168199
595.000000,18.367524
596.000000,18.367524
597.000000,17.677758
598.000000,17.677758
599.000000,17.677758
600.000000,20.479610
601.000000,17.677758
602.000000,20.828221
603.000000,16.672313
604.000000,17.249766
605.000000,17.249766
606.000000,17.249766
607.000000,17.249766
608.000000,16.672313
609.000000,16.672313
610.000000,16.672313
611.000000,16.672313
612.000000,16.672313
613.000000,17.249766
614.000000,17.249766
615.000000,17.249766
616.000000,16.735454
617.000000,16.735454
618.000000,16.735454
619.000000,16.735454
620.000000,16.735454
621.000000,17.249503
622.000000,17.249503
623.000000,17.249503
624.000000,17.249503
625.000000,16.592933
626.000000,16.592933
627.000000,17.249503
628.000000,16.592933
629.000000,17.249766
630.000000,17.249766
631.000000,20.479610
632.000000,16.672313
633.000000,22.585685
634.000000,17.249766
635.000000,16.672313
636.000000,16.672313
637.000000,15.501430
638.000000,15.501430
639.000000,17.607768
640.000000,17.607768
641.000000,19.127263
642.000000,19.127263
643.000000,19.127263
644.000000,16.917538
645.000000,16.917538
646.000000,16.917538
647.000000,16.917538
648.000000,16.917538
649.000000,19.127263
650.000000,16.917538
651.000000,16.917538
652.000000,15.217279
653.000000,15.217279
654.000000,13.339301
655.000000,13.339301
656.000000,13.339301
657.000000,13.339301
658.000000,13.339301
659.000000,18.087100
660.000000,12.168199
661.000000,18.367524
662.000000,12.168199
663.000000,12.168199
664.000000,12.168199
665.000000,12.168199
666.000000,15.794251
667.000000,18.367524
668.000000,17.430748
669.000000,17.430748
670.000000,15.794251
671.000000,13.339301
672.000000,12.168199
673.000000,12.168199
674.000000,12.168199
675.000000,18.367524
676.000000,18.367524
677.000000,17.430748
678.000000,17.430748
679.000000,12.168199
680.000000,17.677758
681.000000,12.168199
682.000000,12.168199
683.000000,12.168199
684.000000,13.339301
685.000000,17.430748
686.000000,17.430748
687.000000,12.168199
0.000000,18.018431
1.000000,16.917538
2.000000,16.917538
3.000000,16.917538
4.000000,17.432069
5.000000,17.432069
6.000000,17.432069
7.000000,17.432069
8.000000,17.432069
9.000000,17.432069
10.000000,19.642013
11.000000,19.642013
12.000000,19.642013
13.000000,17.432069
14.000000,16.917538
15.000000,16.917538
16.000000,16.917538
17.000000,16.917538
18.000000,16.917538
19.000000,16.917538
20.000000,16.917538
21.000000,16.917538
22.000000,16.917538
23.000000,16.917538
24.000000,19.127263
25.000000,19.127263
26.000000,19.127263
27.000000,19.127263
28.000000,19.127263
29.000000,16.917538
30.000000,19.127263
31.000000,19.127263
32.000000,19.127263
33.000000,19.127263
34.000000,19.127263
35.000000,19.127263
36.000000,19.127263
37.000000,19.127263
38.000000,16.917538
39.000000,16.917538
40.000000,16.917538
41.000000,16.917538
42.000000,18.018431
43.000000,18.018431
44.000000,18.018431
45.000000,18.018431
46.000000,18.018431
47.000000,18.018431
48.000000,18.018431
49.000000,18.018431
50.000000,18.018431
51.000000,18.018431
52.000000,18.018431
53.000000,17.837667
54.000000,15.217279
55.000000,16.917538
56.000000,18.018431
57.000000,18.018431
58.000000,17.837667
59.000000,17.607768
60.000000,17.607768
61.000000,17.607768
62.000000,17.607768
63.000000,17.607768
64.000000,17.607768
65.000000,15.217279
66.000000,15.217279
67.000000,15.217279
68.000000,15.217279
69.000000,13.339301
70.000000,13.339301
71.000000,18.699489
72.000000,21.056581
73.000000,18.087100
74.000000,18.087100
75.000000,18.087100
76.000000,13.339301
77.000000,18.699489
78.000000,18.699489
79.000000,22.585685
80.000000,22.585685
81.000000,20.194977
82.000000,20.194977
83.000000,20.194977
84.000000,20.194977
85.000000,20.194977
86.000000,20.194977
87.000000,17.837667
88.000000,17.837667
89.000000,17.837667
90.000000,17.249503
91.000000,17.249503
92.000000,16.735454
93.000000,15.501430
94.000000,15.501430
95.000000,16.080203
96.000000,16.080203
97.000000,15.501430
98.000000,15.501430
99.000000,15.501430
100.000000,15.501430
101.000000,15.501430
102.000000,15.501430
103.000000,15.501430
104.000000,15.501430
105.000000,15.501430
106.000000,15.501430
107.000000,16.080203
108.000000,16.080203
109.000000,15.501430
110.000000,15.501430
111.000000,15.501430
112.000000,16.672313
113.000000,15.501430
114.000000,15.501430
115.000000,15.501430
116.000000,16.735454
117.000000,16.735454
118.000000,15.794251
119.000000,15.794251
120.000000,16.080203
121.000000,16.080203
122.000000,16.080203
123.000000,16.080203
124.000000,15.794251
125.000000,15.794251
126.000000,15.794251
127.000000,15.794251
128.000000,15.794251
129.000000,15.794251
130.000000,15.794251
131.000000,18.018649
132.000000,18.018649
133.000000,19.642013
134.000000,18.018649
135.000000,18.018649
136.000000,18.018649
137.000000,18.018649
138.000000,18.018649
139.000000,19.642013
140.000000,19.642013
141.000000,19.642013
142.000000,18.018649
143.000000,18.018649
144.000000,18.018649
145.000000,18.018649
146.000000,18.018649
147.000000,18.018649
148.000000,18.018649
149.000000,18.018649
150.000000,18.018649
151.000000,18.018649
152.000000,18.018649
153.000000,19.642013
154.000000,19.642013
155.000000,19.642013
156.000000,19.642013
157.000000,19.642013
158.000000,19.642013
159.000000,18.018649
160.000000,19.642013
161.000000,18.769479
162.000000,18.769479
163.000000,18.769479
164.000000,18.769479
165.000000,18.769479
166.000000,18.769479
167.000000,15.794251
168.000000,16.735454
169.000000,16.735454
170.000000,16.735454
171.000000,15.794251
172.000000,15.794251
173.000000,15.794251
174.000000,15.794251
175.000000,16.735454
176.000000,16.735454
177.000000,16.735454
178.000000,17.249766
179.000000,17.249766
180.000000,16.672313
181.000000,16.672313
182.000000,16.672313
183.000000,16.672313
184.000000,16.672313
185.000000,16.672313
186.000000,15.501430
187.000000,16.672313
188.000000,22.585685
189.000000,22.585685
190.000000,18.018649
191.000000,18.018649
192.000000,18.018649
193.000000,18.018431
194.000000,18.018431
195.000000,18.018431
196.000000,18.018431
197.000000,18.018431
198.000000,18.018431
199.000000,16.917538
200.000000,16.917538
201.000000,16.917538
202.000000,18.018431
203.000000,18.018431
204.000000,18.018431
205.000000,18.018431
206.000000,18.018431
207.000000,17.837667
208.000000,17.249503
209.000000,17.837667
210.000000,18.018431
211.000000,18.018431
212.000000,18.018431
213.000000,18.018431
214.000000,18.018431
215.000000,18.018431
216.000000,18.018649
217.000000,18.018649
218.000000,18.018649
219.000000,18.018649
220.000000,15.794251
221.000000,15.794251
222.000000,15.794251
223.000000,15.794251
224.000000,15.794251
225.000000,15.794251
226.000000,15.794251
227.000000,15.794251
228.000000,16.080203
229.000000,16.080203
230.000000,15.501430
231.000000,15.501430
232.000000,15.501430
233.000000,15.501430
234.000000,15.501430
235.000000,16.080203
236.000000,16.080203
237.000000,16.080203
238.000000,16.080203
239.000000,16.080203
240.000000,15.794251
241.000000,15.794251
242.000000,16.080203
243.000000,16.080203
244.000000,16.080203
245.000000,18.769479
246.000000,17.430748
247.000000,17.430748
248.000000,20.479610
249.000000,20.479610
250.000000,17.677758
251.000000,17.677758
252.000000,17.677758
253.000000,16.672313
254.000000,16.672313
255.000000,17.249766
256.000000,17.249766
257.000000,17.249766
258.000000,17.249766
259.000000,16.592933
260.000000,16.592933
261.000000,16.592933
262.000000,16.592933
263.000000,16.592933
264.000000,17.249503
265.000000,17.249503
266.000000,17.249503
267.000000,17.249503
268.000000,17.249503
269.000000,17.249503
270.000000,17.249503
271.000000,16.592933
272.000000,16.592933
273.000000,16.592933
274.000000,16.592933
275.000000,16.592933
276.000000,17.249766
277.000000,16.592933
278.000000,16.592933
279.000000,16.592933
280.000000,16.592933
281.000000,16.592933
282.000000,16.592933
283.000000,16.592933
284.000000,16.592933
285.000000,17.249766
286.000000,17.249766
287.000000,17.249766
288.000000,16.672313
289.000000,16.672313
290.000000,15.501430
291.000000,16.080203
292.000000,16.080203
293.000000,16.080203
294.000000,17.432069
295.000000,18.367524
296.000000,20.828221
297.000000,20.828221
298.000000,20.828221
299.000000,20.828221
300.000000,16.592933
301.000000,17.249503
302.000000,17.249503
303.000000,17.249503
304.000000,17.837667
305.000000,18.018431
306.000000,18.018431
307.000000,18.018431
308.000000,18.018431
309.000000,18.018431
310.000000,19.127263
311.000000,19.127263
312.000000,19.127263
313.000000,19.127263
314.000000,19.127263
315.000000,19.127263
316.000000,19.127263
317.000000,19.127263
318.000000,19.127263
319.000000,18.018431
320.000000,16.917538
321.000000,16.917538
322.000000,18.018431
323.000000,16.917538
324.000000,16.917538
325.000000,15.217279
326.000000,15.217279
327.000000,15.217279
328.000000,17.837667
329.000000,17.837667
330.000000,17.249503
331.000000,17.249503
332.000000,16.592933
333.000000,16.592933
334.000000,20.828221
335.000000,20.828221
336.000000,17.677758
337.000000,17.677758
338.000000,12.168199
339.000000,12.168199
340.000000,12.168199
341.000000,18.367524
342.000000,13.339301
343.000000,12.168199
344.000000,12.168199
345.000000,12.168199
346.000000,18.367524
347.000000,20.828221
348.000000,18.367524
349.000000,18.367524
350.000000,18.367524
351.000000,12.168199
352.000000,17.677758
353.000000,17.677758
354.000000,12.168199
355.000000,12.168199
356.000000,12.168199
357.000000,12.168199
358.000000,17.677758
359.000000,17.677758
